Date,Payee,Account #,Transaction Type,Description,Reference,Status,Amount,Currency,Balance
7/6/2026,Simply Business,,Spend,Unknown,"Corporate Card - 6598 (Business Virtual Card)",SETTLED,-33.75,USD,1225.33
7/6/2026,GUSTO,,Spend,,"TAX 750270 - Initiated By Unknown Payee",SETTLED,-199.50,USD,1259.08
7/6/2026,GUSTO,,Spend,,"NET 750269 - Initiated By Unknown Payee",SETTLED,-1137.92,USD,1458.58
7/6/2026,Income,8735,Receive-transfer,,"Instant auto transfer",SETTLED,+1105.84,USD,2596.50
7/3/2026,STRIPE,,Receive,,"TRANSFER",SETTLED,+81.19,USD,1490.66
7/3/2026,Income,8735,Receive-transfer,,"Transfer",SETTLED,+1054.70,USD,1409.47
7/2/2026,GUSTO,,Spend,,"FEE 505876 - Initiated By Unknown Payee",SETTLED,-127.00,USD,354.77
7/2/2026,STRIPE,,Receive,,"TRANSFER",SETTLED,+304.49,USD,481.77
7/2/2026,Squarespace,,Spend,Unknown,"Corporate Card - 6598 (Business Virtual Card)",SETTLED,-25.00,USD,177.28
7/2/2026,HOMEWORKS SOFTWARE,,Spend,Unknown,"Corporate Card - 6598 (Business Virtual Card)",SETTLED,-77.16,USD,202.28
7/1/2026,STRIPE,,Receive,,"TRANSFER",SETTLED,+48.59,USD,279.44
