date,type,event,category,subcategory,customer,quantity,unit_rate,amount,status,source
2025-04-08,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-04-08,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-04-22,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-04-22,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-05-06,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-05-06,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-05-20,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-05-20,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-06-03,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-06-03,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-06-17,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-06-17,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-07-01,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-07-01,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-07-15,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-07-15,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-07-29,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-07-29,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-08-12,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-08-12,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-08-26,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-08-26,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-09-09,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-09-09,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-09-23,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-09-23,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-10-07,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-10-07,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-10-21,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-10-21,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-11-04,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-11-04,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-11-18,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-11-18,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-12-02,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-12-02,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-12-16,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-12-16,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-12-30,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2025-12-30,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2026-01-13,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2026-01-13,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2026-01-27,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2026-01-27,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2026-02-10,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2026-02-10,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2026-02-24,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2026-02-24,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2026-03-10,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2026-03-10,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2026-03-24,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2026-03-24,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2026-04-07,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2026-04-07,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2026-04-21,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2026-04-21,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2026-05-05,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2026-05-05,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2026-05-19,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2026-05-19,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2026-06-02,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2026-06-02,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2026-06-16,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2026-06-16,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2026-06-30,labor,,recurring,crew-lead,,10,25.00,250.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
2026-06-30,labor,,recurring,crew-member,,10,20.00,200.00,ESTIMATE,"CONTEXT.md D2 (~20 person-hours/2wk, 50/50 split, recurring work only)"
